Year,Enrollment
1971,70.01
1972,70.54
1973,71.07
1974,72.55
1975,75.56
1976,84.72
1977,89.63
1978,90.68
1979,105.06
1980,107.95
1981,104.82
1982,102.98
1983,99.94
1984,100.36
1985,100.02
1986,101.29
1987,102.56
1988,103.56
1989,102.61
1991,111.21
1992,92.53
1993,91.17
1996,82.73
1999,92.75
2000,90.1
2003,96.08
2004,95.08
2007,103.74
